id,thomas_id,api_uri,first_name,middle_name,last_name,party,twitter_account,facebook_account,facebook_id,instagram,url,rss_url,domain,dw_nominate,ideal_point,seniority,next_election,state,district,missed_votes_pct,votes_with_party_pct,chamber,fblike.16.22.5.115,twtrfol-18-23-6-2015
C000380,1474,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000380.json,Donna,M.C.,Christensen,D,DelegateDonna,1.38E+11,1.38E+11,DelegateDonna,http://donnachristensen.house.gov,http://donnachristensen.house.gov/rss.xml,donnachristensen.house.gov,NA,NA,20,2014,VI,79,NA,NA,house,NA,6199
C000537,208,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000537.json,James,E.,Clyburn,D,Clyburn,jameseclyburn,1.28E+14,,http://clyburn.house.gov,http://clyburn.house.gov/rss.xml,clyburn.house.gov,NA,NA,24,2014,SC,6,1.89,90.38,house,32491,27432
C000714,229,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000714.json,John,NA,Conyers Jr.,D,RepJohnConyers,CongressmanConyers,2.07E+11,repjohnconyers,http://conyers.house.gov,http://conyers.house.gov/index.cfm/rss/feed,conyers.house.gov,NA,NA,52,2014,MI,13,0,96.23,house,20351,16703
C000754,231,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000754.json,Jim,NA,Cooper,D,RepJimCooper,JimCooper,NA,repjimcooper,http://cooper.house.gov,http://cooper.house.gov/rss.xml,www.cooper.house.gov,NA,NA,14,2014,TN,5,0,90.57,house,3863,7048
C000984,256,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000984.json,Elijah,E.,Cummings,D,RepCummings,elijahcummings,2.91E+11,repcummings,http://cummings.house.gov,http://cummings.house.gov/rss.xml,cummings.house.gov,NA,NA,22,2014,MD,7,5.66,96,house,61679,11959
C001036,1471,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001036.json,Lois,NA,Capps,D,RepLoisCapps,loiscapps,1.69E+11,reploiscapps,http://capps.house.gov,http://capps.house.gov/rss.xml,capps.house.gov,NA,NA,20,2014,CA,24,1.89,96.15,house,6869,7937
C001037,1564,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001037.json,Michael,E.,Capuano,D,,RepMichaelCapuano,1.51E+14,,http://www.house.gov/capuano,,www.house.gov/capuano/,NA,NA,18,2014,MA,7,15.09,91.11,house,5635,NA
C001038,1604,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001038.json,Joseph,,Crowley,D,RepJoeCrowley,repjoecrowley,1.76E+14,repjoecrowley,http://crowley.house.gov,http://crowley.house.gov/rss.xml,crowley.house.gov,NA,NA,18,2014,NY,14,14.58,97.56,house,3274,8523
C001045,1643,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001045.json,Ander,NA,Crenshaw,R,AnderCrenshaw,2.00E+11,2.00E+11,,http://crenshaw.house.gov,,crenshaw.house.gov,NA,NA,16,2014,FL,4,1.89,98.08,house,18586,8575
C001048,1670,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001048.json,John,NA,Culberson,R,CongCulberson,CongressmanCulberson,1751723339,repjculberson,http://culberson.house.gov,,culberson.house.gov,NA,NA,16,2014,TX,7,0,94.34,house,NA,6810
C001049,1654,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001049.json,William,Lacy,Clay,D,LacyClayMO1,1.09E+14,1.09E+14,,http://lacyclay.house.gov,http://lacyclay.house.gov/rss/press-releases.xml,lacyclay.house.gov,NA,NA,16,2014,MO,1,3.77,96.08,house,1186,3905
C001051,1752,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001051.json,John,NA,Carter,R,JudgeCarter,judgecarter,1287257083,,http://carter.house.gov,http://carter.house.gov/common/rss/?rss=40,carter.house.gov,NA,NA,14,2014,TX,31,25.64,100,house,NA,10996
C001053,1742,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001053.json,Tom,,Cole,R,TomColeOK04,TomColeOK04,1.46E+14,tomcoleok04,http://cole.house.gov,http://cole.house.gov/rss.xml,cole.house.gov,NA,NA,14,2014,OK,4,3.77,96.08,house,8568,7068
C001059,1774,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001059.json,Jim,NA,Costa,D,RepJimCosta,RepJimCosta,NA,,http://costa.house.gov,http://costa.house.gov/index.php?format=feed&amp;type=rss,costa.house.gov,NA,NA,12,2014,CA,16,6.67,69.05,house,3863,3820
